class_id,class_name,total_instances,train_instances,val_instances,val_instance_ratio,total_images,train_images,val_images,val_image_ratio
0,person,5499,4285,1214,0.22076741225677396,1113,910,203,0.18238993710691823
1,boat,135,109,26,0.1925925925925926,62,50,12,0.1935483870967742
2,animal,3061,2419,642,0.20973538059457694,799,655,144,0.1802252816020025
3,seat,621,498,123,0.19806763285024154,315,259,56,0.17777777777777778
4,sign,809,632,177,0.21878862793572312,441,350,91,0.20634920634920634
5,bicycle,666,535,131,0.1966966966966967,213,172,41,0.19248826291079812
6,car,1571,1335,236,0.15022278803309994,403,326,77,0.19106699751861042
7,ball,89,71,18,0.20224719101123595,75,62,13,0.17333333333333334
8,light,1455,1199,256,0.1759450171821306,467,376,91,0.1948608137044968
9,garbage_can,282,222,60,0.2127659574468085,231,189,42,0.18181818181818182
10,uav,204,160,44,0.21568627450980393,148,112,36,0.24324324324324326
11,tricycle,25,21,4,0.16,21,17,4,0.19047619047619047
